"League","Narcissism","SPIN14","GAD_T","Depression_index","Rounds","round.index","global_avg_dep_index","avg_comparison"
"bronze",1.5,0.75,6.5,5.16666666666667,5,1.03333333333333,3.77,TRUE
"challenger",1,1.5,6,7,2,3.5,3.77,TRUE
"diamond",1.77777777777778,1.11111111111111,4.44444444444444,8,6.66666666666667,1.2,3.77,TRUE
"gold",1.77777777777778,1.33333333333333,4.5,4.90909090909091,5.45454545454545,0.9,3.77,TRUE
"plat",1.8,2,7.2,7.125,4.5,1.58333333333333,3.77,TRUE
"silver",2,1.4,4.4,6.25,4.91666666666667,1.27118644067797,3.77,TRUE
